timestamp,entry_node,exit_node,mobile_local_ip,vpn_provider,protocol,port,server_location,subnet_match,correlation_confidence,entry_method,exit_method,file_hash
2026-05-07T14:56:08.465307+00:00,94.156.30.65,94.156.30.132,192.168.137.45,NordVPN/WireGuard,UDP,51820,"Mumbai, India",True,95,AccessibilityService,PacketCapture,SHA256:e54ce5806b767ccefdac16afcd853289e8292a29509f9330c306302c646597a1
2026-05-07T14:56:10.481980+00:00,94.156.30.178,81.17.122.203,192.168.137.45,NordVPN/WireGuard,UDP,51820,"Mumbai, India",False,88,AccessibilityService,PacketCapture,SHA256:b9a3d96f5b73153ab56d1535baec3c852b4a7d4250d9166e2f2a6cc6b07f48a4
2026-05-07T14:56:12.485814+00:00,94.156.30.201,94.156.30.77,192.168.137.45,NordVPN/WireGuard,UDP,51820,"Mumbai, India",True,95,AccessibilityService,PacketCapture,SHA256:be1efd8e19b3103a0714d75746064ea114010b96b8096352d1d92c6042c6a980
2026-05-07T14:56:14.489552+00:00,94.156.30.65,94.156.30.132,192.168.137.45,NordVPN/WireGuard,UDP,51820,"Mumbai, India",True,95,AccessibilityService,PacketCapture,SHA256:c3965ae705d4da612abd9b9cd1bd8b4fddce7ad82942761b9bf5d28fa326843c
2026-05-07T14:56:16.492755+00:00,94.156.30.178,81.17.122.203,192.168.137.45,NordVPN/WireGuard,UDP,51820,"Mumbai, India",False,88,AccessibilityService,PacketCapture,SHA256:5078a9a3a0755f8248d1400bf6ca70a87833e8053ccb89debf6c935976b6e77e
2026-05-07T14:56:18.496615+00:00,94.156.30.201,94.156.30.77,192.168.137.45,NordVPN/WireGuard,UDP,51820,"Mumbai, India",True,95,AccessibilityService,PacketCapture,SHA256:bdbf97409656202752c8494dc7717bcee7efde2090fc643c7d3616c70731f840
2026-05-07T14:56:20.499849+00:00,94.156.30.65,94.156.30.132,192.168.137.45,NordVPN/WireGuard,UDP,51820,"Mumbai, India",True,95,AccessibilityService,PacketCapture,SHA256:b1ea7d30e4cd7a6b3349e6a9fbb0ce36e4eadfb6d9e6cf8e9b98334e361465ec
2026-05-07T14:56:22.502856+00:00,94.156.30.178,81.17.122.203,192.168.137.45,NordVPN/WireGuard,UDP,51820,"Mumbai, India",False,88,AccessibilityService,PacketCapture,SHA256:80af071459fe38fa7e419b9a1f4b4b232f0037d500a4a6fb4f733cbf035b9b41
2026-05-07T14:56:24.507163+00:00,94.156.30.201,94.156.30.77,192.168.137.45,NordVPN/WireGuard,UDP,51820,"Mumbai, India",True,95,AccessibilityService,PacketCapture,SHA256:168d39158ecd1044f8cc96c527d5e0eb0edbe23159542b1b3ee01d3c22e860c6
2026-05-07T14:56:26.510810+00:00,94.156.30.65,94.156.30.132,192.168.137.45,NordVPN/WireGuard,UDP,51820,"Mumbai, India",True,95,AccessibilityService,PacketCapture,SHA256:4e35d264735819613760571bc2530d5229500d29c29ed05c54f637bec1521461
2026-05-07T14:56:28.512976+00:00,94.156.30.178,81.17.122.203,192.168.137.45,NordVPN/WireGuard,UDP,51820,"Mumbai, India",False,88,AccessibilityService,PacketCapture,SHA256:6b323d5f70211ffb5f9073316363c80268b42e749bf0d789d219559a41221367
2026-05-07T14:56:30.516179+00:00,94.156.30.201,94.156.30.77,192.168.137.45,NordVPN/WireGuard,UDP,51820,"Mumbai, India",True,95,AccessibilityService,PacketCapture,SHA256:659793a291f19094bf372e91b3f456ade600bd88a80003f930be23d807b6ffa7
