timestamp,entry_node,exit_node,mobile_local_ip,vpn_provider,protocol,port,server_location,subnet_match,correlation_confidence,entry_method,exit_method,file_hash
2026-05-07T14:54:14.754230+00:00,94.156.30.65,94.156.30.132,192.168.137.45,NordVPN/WireGuard,UDP,51820,"Mumbai, India",True,95,AccessibilityService,PacketCapture,SHA256:e9f129c11a9560075a3f1d95ed1cd427c68c195e12aa58e747a4459f6d754dd3
2026-05-07T14:54:16.756115+00:00,94.156.30.178,81.17.122.203,192.168.137.45,NordVPN/WireGuard,UDP,51820,"Mumbai, India",False,88,AccessibilityService,PacketCapture,SHA256:a73d1a95eeca31c7263becd7572909a192ae748a51eb6e529cb286c657d40962
2026-05-07T14:54:18.757825+00:00,94.156.30.201,94.156.30.77,192.168.137.45,NordVPN/WireGuard,UDP,51820,"Mumbai, India",True,95,AccessibilityService,PacketCapture,SHA256:92c28db1e3c50bfd5b92bf897a52846b31dc010d9e26a88453a8684763d43fcb
2026-05-07T14:54:20.761400+00:00,94.156.30.65,94.156.30.132,192.168.137.45,NordVPN/WireGuard,UDP,51820,"Mumbai, India",True,95,AccessibilityService,PacketCapture,SHA256:c7fa3bb103ebc36ae6bda5bfea50637fffe25e15ee24f582e42dabc58e0827fb
2026-05-07T14:54:22.762563+00:00,94.156.30.178,81.17.122.203,192.168.137.45,NordVPN/WireGuard,UDP,51820,"Mumbai, India",False,88,AccessibilityService,PacketCapture,SHA256:62e694ddaf26a6a618ba542509b23f1dcb4a6d39fcd706ed4bed31a737399c25
2026-05-07T14:54:24.765458+00:00,94.156.30.201,94.156.30.77,192.168.137.45,NordVPN/WireGuard,UDP,51820,"Mumbai, India",True,95,AccessibilityService,PacketCapture,SHA256:46d08b0ad2a7551c7f90bad4845476a969171d9c3871adaa919716344730407b
2026-05-07T14:54:26.766781+00:00,94.156.30.65,94.156.30.132,192.168.137.45,NordVPN/WireGuard,UDP,51820,"Mumbai, India",True,95,AccessibilityService,PacketCapture,SHA256:b559ee9fe9e3601902aabfd50d3cc0b8ae80f262349c2f271600c14715c86728
2026-05-07T14:54:28.767803+00:00,94.156.30.178,81.17.122.203,192.168.137.45,NordVPN/WireGuard,UDP,51820,"Mumbai, India",False,88,AccessibilityService,PacketCapture,SHA256:315ad4efbe9bb06246d2a3416f4974c1c4edc730f94c7a5dfd82bb7c07673fca
2026-05-07T14:54:30.771831+00:00,94.156.30.201,94.156.30.77,192.168.137.45,NordVPN/WireGuard,UDP,51820,"Mumbai, India",True,95,AccessibilityService,PacketCapture,SHA256:1fa7863b312bd75169e9dc9ff40c11ab4dbeb7d84946cc56259c7b914653e6db
2026-05-07T14:54:32.774646+00:00,94.156.30.65,94.156.30.132,192.168.137.45,NordVPN/WireGuard,UDP,51820,"Mumbai, India",True,95,AccessibilityService,PacketCapture,SHA256:a189615ebcd0d1d57ebfddd772cc77633dc052dcfdedae40190c605a1bc7b72f
2026-05-07T14:54:34.775708+00:00,94.156.30.178,81.17.122.203,192.168.137.45,NordVPN/WireGuard,UDP,51820,"Mumbai, India",False,88,AccessibilityService,PacketCapture,SHA256:1d1b1653abe0767da58859b0cfc554cd2999bb25cc28a2726830d431d442dc93
